Type,Method,Bg_RRGGBB,Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b,BGLValue,FGLValue,NuetralValue,Region,Distance,Blend_L,Blend_A,Blend_B,Blend_Original_Distance,Blend_compensated_Distance
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,43.22428951,36.03353502,-66.13004987,39.6225449,60.25427604,-96.31801994,30.88758977,65.30870401,-94.65819528,0,33.48261109,45.48970574,-71.29644724,40.34467287,58.20947645,-92.19978516,0,0,1,4,4.654302512,46.23925334,58.46444372,-92.69094251,7.754999744,5.920500217
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,56.82979993,57.01569021,36.3440368,46.73744322,52.74183128,26.18300963,40.24434059,53.31957508,-7.666006594,0,46.27218258,74.38440212,1.906874998,47.49496263,57.22367683,-38.98207528,0,1,1,1,65.32341897,52.10872842,53.00312087,-13.56661188,40.11173627,26.17337783
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,34.17105767,18.60724478,-13.83969023,24.6866178,13.95591828,-26.67730193,0.958501566,29.91692553,-63.16566095,1,25.34961265,-4.758846199,-0.169983007,32.67875572,24.96055017,-54.96800861,0,0,1,5,31.39013023,35.4711698,22.92037034,-48.84418371,26.23049009,7.032861551
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.73788337,51.93901256,-18.94095564,60.55147747,55.45363228,-42.92580363,56.40566814,54.76207349,-29.19294904,0,66.68431355,52.11526418,-5.110575073,61.44658961,54.93097907,-38.36057524,0,1,1,6,4.681420978,64.29115039,56.26188073,-53.29638166,11.05383679,15.26240933
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.38870786,13.46744867,56.83721712,62.98171998,6.26042669,52.04265253,59.10727618,-0.434211315,26.22746873,0,71.49034459,9.14898535,37.65191673,66.49699609,6.215336498,-5.583795838,0,1,1,1,57.73358425,66.50931116,11.65835394,10.40410702,42.13490228,16.8890387
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,28.02855553,63.25541914,-67.8702486,26.31760372,62.62311171,-83.12489393,3.919318434,103.8837163,-93.83462728,1,21.71577359,60.4496135,-82.53863694,33.77374895,58.34152872,-88.95008408,0,0,1,5,10.3855137,36.51055837,56.35075459,-85.97673083,12.30332322,4.504901442
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,61.57117595,51.25573135,70.29487926,52.58642213,46.67189822,56.82246645,47.29934445,45.39172138,-4.436672855,0,61.95480308,47.29902281,18.05044687,56.36705235,49.17419948,-23.89621282,0,1,1,1,80.84590193,57.16408636,48.03097429,1.670243805,55.35855634,25.60441234
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,43.76006164,-8.877777249,-32.48206011,37.95883722,12.7006933,-51.09232691,28.49564172,-1.623459507,-32.33761022,0,34.05841753,-11.3936987,-18.78824109,38.49846139,12.89912258,-44.21943857,0,0,1,4,6.896895139,44.92215536,20.28575412,-62.35628328,15.2609849,20.60998073
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.47266811,33.16238867,-42.6552711,67.88034634,47.04141422,-55.3787132,64.47456631,45.34082985,-45.97357033,0,66.88657317,28.02655645,-47.03095293,66.71050253,45.53249844,-57.39568529,0,1,1,5,2.777325653,71.02996826,48.62853149,-49.94833058,6.475192268,9.149114551
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.77129657,-4.956157929,56.81521584,82.08487984,-20.79062247,60.184771,79.63310225,-27.18209439,90.93731783,0,86.95327643,-10.22611308,86.24152869,84.39089625,-17.31918557,40.90886678,0,1,1,1,19.72128468,84.41985551,-15.21735079,29.08562373,31.68075804,12.0086479
